TITLE     = "Particles in 3D"
VARIABLES = "X" "Y" "Z" "UP" "VP" "WP" "MASS" "WT" "WTD" "DPM" "XN" "YN" "ZN" "SRCNUM
ZONE T="     0.0 seconds"
I=         4, J=1, K=1,F=POINT
DT=(SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE)
   101.449    55.834     0.510    -0.569    -0.406     0.146  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    72.658    50.239     0.980    -0.412    -0.095     0.271  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    40.590    54.653     1.855     0.534    -0.741     0.370  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    91.414    52.498     1.722     0.088    -0.647     0.233  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    81.697    46.078     5.768    -0.104    -2.813     0.536  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   104.992    50.262     1.056     0.009    -0.099    -0.114  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    65.025    48.001     1.887     0.837    -1.415     0.059  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    73.370    50.656     0.816    -0.842     0.042    -0.421  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    46.301    49.097     0.938     0.222    -1.381    -0.317  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   102.536    52.431     2.606     0.949     0.686     0.350  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   116.242    52.387     0.939     0.285     0.942    -0.383  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    82.429    54.052     2.407    -0.248    -0.484     0.665  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    58.181    56.359     0.902    -0.233     0.637    -0.379  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   113.244    47.922     2.748    -0.228    -0.558     0.106  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    77.621    51.717     1.016    -0.662    -0.674     0.444  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
   117.087    53.634     0.619     0.804     0.553    -0.344  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
    77.276    55.512     0.533    -0.204    -0.099    -0.360  0.2000E-01 1.0000000 1.0000000   0.000 99999.000 99999.000 99999.000        1.
